법인등록번호,자산총액,직전사업결산일자,자본금액,자본총액,회사구분,부채총액,소속회사명,기업공개일자,기업설립일,집단편입일,업종코드,업종명,상시종업원수,공개년월,출력순위,대표자명,매출액,결산기일,당기순이익,기업집단명,rcmgCode
1.10E+12,9.22E+11,20210330,1.20E+11,7.89E+11,일반회사,1.33E+11,동양,19760625,19550825,20161017,C23,비금속 광물제품 제조업,466,202105,139,정진학,4.44E+11,20201231,-18057000000,유진,360228
1.10E+12,2.37E+11,20210326,22250000000,88140000000,일반회사,1.49E+11,농협케미컬,,19561212,20000731,C20,화학 물질 및 화학제품 제조업; 의약품 제외,261,202105,89,최규동,2.05E+11,20201231,1384000000,농협,351857
1.10E+12,2.81E+12,20210326,20275000000,1.30E+12,일반회사,1.51E+12,삼천리,19761223,19660707,19660707,D35,"전기, 가스, 증기 및 공기 조절 공급업",825,202105,295,"이찬의, 유재권",2.39E+12,20201231,33598000000,삼천리,350010
1.10E+12,3.10E+14,20210318,1.00E+11,3.90E+13,금융보험업,2.71E+14,삼성생명보험,20100512,19570424,19630701,K65,보험 및 연금업,5332,202105,1579,전영묵,2.97E+13,20201231,9.29E+11,삼성,870021
1.10E+12,7.22E+12,20210329,1.14E+11,3.27E+12,일반회사,3.95E+12,씨제이대한통운,19560702,19301119,20120201,H52,창고 및 운송관련 서비스업,6184,202105,1707,강신호,6.94E+12,20201231,95549000000,씨제이,710083
1.10E+12,2.83E+11,20210326,73312000000,1.19E+11,일반회사,1.64E+11,진흥기업,19770625,19590903,20080303,F41,종합 건설업,312,202105,2219,박상신,3.77E+11,20201231,20397000000,효성,500704
1.10E+12,1.95E+13,20210319,5.84E+11,1.71E+12,금융보험업,1.78E+13,한화손해보험,19750630,19460322,20030203,K66,금융 및 보험관련 서비스업,3049,202105,2476,강성수,7.81E+12,20201231,88383000000,한화,870137
1.10E+12,2.19E+12,20210319,9741000000,2.11E+12,일반회사,80951000000,에스티인터내셔널코퍼레이션,,19621210,19700415,G46,도매 및 상품 중개업,79,202105,507,하길용,2.60E+11,20201231,26966000000,삼천리,210048
1.10E+12,9.53E+12,20210325,5.38E+11,8.63E+11,금융보험업,8.66E+12,유진투자증권,19870824,19540512,20070322,K64,금융업,768,202105,2081,"유창수, 고경모",1.32E+12,20201231,80841000000,유진,860034
1.10E+12,1.19E+13,20210325,5.57E+11,5.55E+12,일반회사,6.36E+12,현대건설,19841222,19500110,20110405,F41,종합 건설업,6826,202105,2524,윤영준,9.32E+12,20201231,1.02E+11,현대자동차,500577
1.10E+12,2.07E+12,20210330,1.22E+11,5.79E+11,일반회사,1.49E+12,대한해운,19920423,19681212,20131017,H50,수상 운송업,164,202105,1306,김만태,5.00E+11,20201231,-41871000000,SM,720186
1.10E+12,4.10E+11,20210326,35046000000,96399000000,일반회사,3.14E+11,경남기업,,19510829,20180101,F41,종합 건설업,389,202105,1134,박석준,3.04E+11,20201231,20339000000,SM,500720
1.10E+12,8.35E+13,20210324,4.10E+12,8.97E+12,금융보험업,7.45E+13,미래에셋증권,19750930,19700923,20160601,K64,금융업,4202,202105,1507,"최현만, 김재식",1.52E+13,20201231,5.91E+11,미래에셋,860085
1.10E+12,7.22E+11,20210326,6640000000,6.07E+11,일반회사,1.15E+11,대한화섬,19851223,19631022,19751205,C20,화학 물질 및 화학제품 제조업; 의약품 제외,166,202105,1308,김형생,86893000000,20201231,16203000000,태광,350389
1.10E+12,1.63E+12,20210326,1.18E+11,1.01E+12,일반회사,6.20E+11,하이트진로홀딩스,19730919,19330809,19330809,K64,금융업,19,202105,2409,김인규,35812000000,20201231,13144000000,하이트진로,310433
1.10E+12,5.41E+12,20210330,1.24E+11,2.65E+12,일반회사,2.76E+12,두산,19730629,19331218,19740529,C26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2601,202105,152,"박정원, 김민철, 곽상철",1.55E+12,20201231,1.80E+11,두산,310425
1.10E+12,5.10E+12,20210319,2.16E+11,2.35E+12,일반회사,2.75E+12,롯데건설,,19590203,19870401,F41,종합 건설업,4824,202105,1428,하석주,5.09E+12,20201231,1.94E+11,롯데,500160
1.10E+12,1.15E+14,20210326,1.03E+11,1.21E+13,금융보험업,1.03E+14,교보생명보험,,19580807,19580807,K65,보험 및 연금업,3842,202105,1149,"신창재, 윤열현, 편정범",1.57E+13,20201231,3.83E+11,교보생명보험,870200
1.10E+12,3.19E+12,20210331,1.79E+11,2.77E+12,일반회사,4.11E+11,씨제이,19730629,19530801,19970416,N75,사업 지원 서비스업,59,202105,1706,김홍기외1,1.65E+11,20201231,52187000000,씨제이,310182
1.10E+12,4.44E+13,20210319,18851000000,2.80E+13,일반회사,1.64E+13,삼성물산,20141218,19631223,19631223,F41,종합 건설업,11591,202105,1575,고정석외2,1.91E+13,20201231,3.20E+11,삼성,810053
1.10E+12,1.32E+13,20210326,3.26E+11,7.24E+11,금융보험업,1.25E+13,흥국화재해상보험,19741205,19480323,20060302,K65,보험 및 연금업,1203,202105,2611,권중원,4.49E+12,20201231,22711000000,태광,870072
1.10E+12,9.67E+12,20210324,3.23E+11,1.26E+12,금융보험업,8.41E+12,교보증권,19991118,19491122,19940401,K66,금융 및 보험관련 서비스업,929,202105,1153,"박봉권,이석기",1.76E+12,20201231,1.06E+11,교보생명보험,860115
